"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"HSS_SCI74-2021","https://scholarships.ekmd.huji.ac.il/home/NaturalScience/SCI74-2021","https://scholarships2.ekmd.huji.ac.il/home/NaturalScience/SCI50-2020/","DocType","HSS_SCI74-2021_ADMINSP;HSS_SCI74-2021_JUDGESSP;","System.Object[]","System.Object[]"
"HSS_SCI74-2021","https://scholarships.ekmd.huji.ac.il/home/NaturalScience/SCI74-2021","https://scholarships2.ekmd.huji.ac.il/home/NaturalScience/SCI50-2020/","קריטריונים למלגות","resultPerm","System.Object[]","System.Object[]"
