"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"GRS_CSE19-2022","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE19-2022","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE17-2021","DocType","GRS_CSE19-2022_ADMINSP;GRS_CSE19-2022_JUDGESSP;",,
"GRS_CSE19-2022","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE19-2022","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE17-2021","Computer Science (521)","resultPerm",,
"GRS_CSE19-2022","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE19-2022","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE17-2021","Computational Biology (532)","resultPerm",,
"GRS_CSE19-2022","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE19-2022","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE17-2021","Bioengineering (582)","resultPerm",,
