"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"GRS_SOC46-2022","https://grs.ekmd.huji.ac.il/home/SocialSciences/SOC46-2022","https://grs2.ekmd.huji.ac.il/home/SocialSciences/SOC36-2020/","DocType","GRS_SOC46-2022_ADMINSP;GRS_SOC46-2022_JUDGESSP;GRS_SOC46-2022_JUDGES-SINUNSP;GRS_SOC46-2022_JUDGES-INTERVIEWSP;","System.Object[]","System.Object[]"
"GRS_SOC46-2022","https://grs.ekmd.huji.ac.il/home/SocialSciences/SOC46-2022","https://grs2.ekmd.huji.ac.il/home/SocialSciences/SOC36-2020/","נוירופסיכולוגיה","EKMD\GRS_SOC46-2022_JUDGESNEUROUG;","System.Object[]","System.Object[]"
"GRS_SOC46-2022","https://grs.ekmd.huji.ac.il/home/SocialSciences/SOC46-2022","https://grs2.ekmd.huji.ac.il/home/SocialSciences/SOC36-2020/","ערבי","EKMD\GRS_SOC46-2022_JUDGESARABUG;","System.Object[]","System.Object[]"
