"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"HSS_AGR167-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR167-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR159-2021/","DocType","HSS_AGR167-2021_ADMINSP;HSS_AGR167-2021_JUDGESSP;","System.Object[]","System.Object[]"
"HSS_AGR167-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR167-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR159-2021/","MyAdvisor","EKMD\all_apps_grpsug;HSS_AGR167-2021_APPLICANTSUG;","System.Object[]","System.Object[]"
