"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","applicants","HSS_AGR164-2021_adminUG;","System.Object[]","System.Object[]"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","DocType","HSS_AGR164-2021_adminUG;HSS_AGR164-2021_adminSP;HSS_AGR164-2021_judgesSP;","System.Object[]","System.Object[]"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","Submitted","HSS_AGR164-2021_adminUG;","System.Object[]","System.Object[]"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","Final","HSS_AGR164-2021_adminUG;","System.Object[]","System.Object[]"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","cancelledApplicantsList","HSS_AGR164-2021_adminUG;","System.Object[]","System.Object[]"
"HSS_AGR165-2021","https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR165-2021","https://scholarships2.ekmd.huji.ac.il/home/Agriculture/AGR164-2021/","CV and List of Publications Guidelines","resultPerm","System.Object[]","System.Object[]"
