"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"GRS_CSE18-2021","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE18-2021","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE16-2020/","Computer Science (521)","resultPerm",,
"GRS_CSE18-2021","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE18-2021","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE16-2020/","Computational Biology (532)","resultPerm",,
"GRS_CSE18-2021","https://grs.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE18-2021","https://grs2.ekmd.huji.ac.il/home/ComputerScienceandEngineering/CSE16-2020/","Bioengineering (582)","resultPerm",,
