"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"GRS_MED90-2022","https://grs.ekmd.huji.ac.il/home/Medicine/MED90-2022","https://grs2.ekmd.huji.ac.il/home/Medicine/MED76-2021/","Final","GRS_MED90-2022_JUDGESUG;","System.Object[]","System.Object[]"
"GRS_MED90-2022","https://grs.ekmd.huji.ac.il/home/Medicine/MED90-2022","https://grs2.ekmd.huji.ac.il/home/Medicine/MED76-2021/","Final-Abish","Sigal Ben-Yehuda;Yael Stern-Bach;Michael Berger;Ittai Ben-Porath;","System.Object[]","System.Object[]"
"GRS_MED90-2022","https://grs.ekmd.huji.ac.il/home/Medicine/MED90-2022","https://grs2.ekmd.huji.ac.il/home/Medicine/MED76-2021/","Final-Genetic","shiri Shkedi-Rafid;","System.Object[]","System.Object[]"
