"Group","SiteSource","SiteDest","List","PermDifference","PermSource","PermDest"
"HSS_HUM180-2021","https://scholarships.ekmd.huji.ac.il/home/Humanities/HUM180-2021","https://scholarships2.ekmd.huji.ac.il/home/humanities/HUM149-2021/","DocType","HSS_HUM180-2021_ADMINSP;HSS_HUM180-2021_JUDGESUG;HSS_HUM180-2021_JUDGESSP;","System.Object[]","System.Object[]"
"HSS_HUM180-2021","https://scholarships.ekmd.huji.ac.il/home/Humanities/HUM180-2021","https://scholarships2.ekmd.huji.ac.il/home/humanities/HUM149-2021/","Final","HSS_HUM180-2021_JUDGESUG;","System.Object[]","System.Object[]"
